activity,category,file
coin,encounter,coin/encounter/01.jpg
coin,encounter_success,coin/encounter_success/01.jpg
coin,failure,coin/failure/01.jpg
coin,rare,coin/rare/01.jpg
coin,success,coin/success/01.jpg
coin,success,coin/success/02.jpg
exploration,encounter,exploration/encounter/01.jpg
exploration,encounter_failure,exploration/encounter_failure/01.jpg
exploration,failure,exploration/failure/01.jpg
exploration,rare,exploration/rare/01.jpg
exploration,success,exploration/success/01.jpg
exploration,success,exploration/success/02.jpg
fishing,encounter,fishing/encounter/01.jpg
fishing,encounter,fishing/encounter/02.jpg
fishing,encounter_failure,fishing/encounter_failure/01.jpg
fishing,encounter_success,fishing/encounter_success/01.jpg
fishing,encounter_success,fishing/encounter_success/02.jpg
fishing,failure,fishing/failure/01.jpg
fishing,failure,fishing/failure/02.jpg
fishing,rare,fishing/rare/01.jpg
fishing,rare,fishing/rare/02.jpg
fishing,success,fishing/success/01.jpg
fishing,success,fishing/success/02.jpg
fishing,success,fishing/success/03.jpg
mining,encounter,mining/encounter/01.jpg
mining,encounter,mining/encounter/02.jpg
mining,encounter_failure,mining/encounter_failure/01.jpg
mining,encounter_success,mining/encounter_success/01.jpg
mining,encounter_success,mining/encounter_success/02.jpg
mining,failure,mining/failure/01.jpg
mining,failure,mining/failure/02.jpg
mining,rare,mining/rare/01.jpg
mining,rare,mining/rare/02.jpg
mining,success,mining/success/01.jpg
mining,success,mining/success/02.jpg
mining,success,mining/success/03.jpg
support,encounter,support/encounter/01.jpg
support,encounter,support/encounter/02.jpg
support,encounter_failure,support/encounter_failure/01.jpg
support,encounter_success,support/encounter_success/01.jpg
support,encounter_success,support/encounter_success/02.jpg
support,failure,support/failure/01.jpg
support,failure,support/failure/02.jpg
support,rare,support/rare/01.jpg
support,rare,support/rare/02.jpg
support,success,support/success/01.jpg
support,success,support/success/02.jpg
support,success,support/success/03.jpg
