명령/콘텐츠,결과,이미지 경로,수량
낚시,success,apocalypse_bot/assets/v632/activities/fishing/success/,3
낚시,failure,apocalypse_bot/assets/v632/activities/fishing/failure/,2
낚시,rare,apocalypse_bot/assets/v632/activities/fishing/rare/,2
낚시,encounter,apocalypse_bot/assets/v632/activities/fishing/encounter/,2
낚시,encounter_success,apocalypse_bot/assets/v632/activities/fishing/encounter_success/,2
낚시,encounter_failure,apocalypse_bot/assets/v632/activities/fishing/encounter_failure/,1
광산,success,apocalypse_bot/assets/v632/activities/mining/success/,3
광산,failure,apocalypse_bot/assets/v632/activities/mining/failure/,2
광산,rare,apocalypse_bot/assets/v632/activities/mining/rare/,2
광산,encounter,apocalypse_bot/assets/v632/activities/mining/encounter/,2
광산,encounter_success,apocalypse_bot/assets/v632/activities/mining/encounter_success/,2
광산,encounter_failure,apocalypse_bot/assets/v632/activities/mining/encounter_failure/,1
코인/코인탐색,success,apocalypse_bot/assets/v632/activities/coin/success/,2
코인/코인탐색,failure,apocalypse_bot/assets/v632/activities/coin/failure/,1
코인/코인탐색,rare,apocalypse_bot/assets/v632/activities/coin/rare/,1
코인/코인탐색,encounter,apocalypse_bot/assets/v632/activities/coin/encounter/,1
코인/코인탐색,encounter_success,apocalypse_bot/assets/v632/activities/coin/encounter_success/,1
탐색,success,apocalypse_bot/assets/v632/activities/exploration/success/,2
탐색,failure,apocalypse_bot/assets/v632/activities/exploration/failure/,1
탐색,rare,apocalypse_bot/assets/v632/activities/exploration/rare/,1
탐색,encounter,apocalypse_bot/assets/v632/activities/exploration/encounter/,1
탐색,encounter_failure,apocalypse_bot/assets/v632/activities/exploration/encounter_failure/,1
돈주세요,success,apocalypse_bot/assets/v632/activities/support/success/,3
돈주세요,failure,apocalypse_bot/assets/v632/activities/support/failure/,2
돈주세요,rare,apocalypse_bot/assets/v632/activities/support/rare/,2
돈주세요,encounter,apocalypse_bot/assets/v632/activities/support/encounter/,2
돈주세요,encounter_success,apocalypse_bot/assets/v632/activities/support/encounter_success/,2
돈주세요,encounter_failure,apocalypse_bot/assets/v632/activities/support/encounter_failure/,1
